state,start_year,start_cap,end_year,2050_cap
Alabama,2037,13.4045,2050,1759.8184
Arkansas,2020,NA,2050,10765.29652
Arizona,2020,NA,2050,3759.103987
California,2020,NA,2050,26354.04816
Colorado,2020,NA,2050,7782.73534
Connecticut,2020,NA,2050,3371.053042
Delaware,2020,NA,2050,1761.37565
Florida,2043,4.92075,2050,745.2715603
Georgia,2031,0.261225,2050,7965.316537
Iowa,2020,NA,2050,23158.35367
Idaho,2020,NA,2050,2883.067263
Illinois,2020,NA,2050,32385.68938
Indiana,2020,NA,2050,9819.665486
Kansas,2020,NA,2050,8346.736851
Kentucky,2037,474.0566,2050,6688.767432
Louisiana,2043,3.237975,2050,1819.641825
Massachusetts,2020,NA,2050,8050.320792
Maryland,2020,NA,2050,9836.3356
Maine,2020,NA,2050,1606.458202
Michigan,2020,NA,2050,21150.74925
Minnesota,2020,NA,2050,5180.149499
Missouri,2020,NA,2050,16332.11002
Mississippi,2043,5.34905,2050,21.3962
Montana,2020,NA,2050,6512.627805
North Carolina,2020,NA,2050,18418.13225
North Dakota,2020,NA,2050,5620.374039
Nebraska,2020,NA,2050,8069.08503
New Hampshire,2020,NA,2050,1185.719366
New Jersey,2020,NA,2050,4743.10005
New Mexico,2020,NA,2050,14354.32832
Nevada,2020,NA,2050,2741.000218
New York,2020,NA,2050,23000.69127
Ohio,2020,NA,2050,21522.43182
Oklahoma,2020,NA,2050,14722.51433
Oregon,2020,NA,2050,9158.248496
Pennsylvania,2020,NA,2050,26125.56592
Rhode Island,2020,NA,2050,1016.681454
South Carolina,2029,6.154,2050,5387.496604
South Dakota,2020,NA,2050,5634.004126
Tennessee,2020,NA,2050,4181.58615
Texas,2020,NA,2050,70281.78742
Utah,2020,NA,2050,927.3972419
Virginia,2021,208.3484,2050,9589.823627
Vermont,2020,NA,2050,883.110839
Washington,2020,NA,2050,13707.38291
Wisconsin,2020,NA,2050,18866.8177
West Virginia,2020,NA,2050,3599.432289
Wyoming,2020,NA,2050,5763.535368
